,Year,Quarter,LGA,Sex,Age_Gr,TB_Cases
219,2022,2,Ikara,Female,5-14,0
220,2022,3,Ikara,Male,5-14,1
221,2022,3,Ikara,Female,5-14,1
222,2022,4,Ikara,Male,5-14,5
223,2022,4,Ikara,Female,5-14,13
224,2022,1,Jaba,Male,5-14,0
225,2022,1,Jaba,Female,5-14,0
226,2022,2,Jaba,Male,5-14,0
227,2022,2,Jaba,Female,5-14,0
228,2022,3,Jaba,Male,5-14,0
229,2022,3,Jaba,Female,5-14,0
230,2022,4,Jaba,Male,5-14,0
231,2022,4,Jaba,Female,5-14,0
232,2022,1,Jema'a,Male,5-14,0
233,2022,1,Jema'a,Female,5-14,1
234,2022,2,Jema'a,Male,5-14,1
235,2022,2,Jema'a,Female,5-14,0
236,2022,3,Jema'a,Male,5-14,4
237,2022,3,Jema'a,Female,5-14,2
238,2022,4,Jema'a,Male,5-14,0
239,2022,4,Jema'a,Female,5-14,0
240,2022,1,Kachia,Male,5-14,0
241,2022,1,Kachia,Female,5-14,0
242,2022,2,Kachia,Male,5-14,0
243,2022,2,Kachia,Female,5-14,0
244,2022,3,Kachia,Male,5-14,2
245,2022,3,Kachia,Female,5-14,1
246,2022,4,Kachia,Male,5-14,0
247,2022,4,Kachia,Female,5-14,0
248,2022,1,Kaduna North,Male,5-14,21
249,2022,1,Kaduna North,Female,5-14,14
250,2022,2,Kaduna North,Male,5-14,13
251,2022,2,Kaduna North,Female,5-14,11
252,2022,3,Kaduna North,Male,5-14,23
253,2022,3,Kaduna North,Female,5-14,21
254,2022,4,Kaduna North,Male,5-14,38
255,2022,4,Kaduna North,Female,5-14,30
256,2022,1,Kaduna South,Male,5-14,4
257,2022,1,Kaduna South,Female,5-14,9
258,2022,2,Kaduna South,Male,5-14,4
259,2022,2,Kaduna South,Female,5-14,2
260,2022,3,Kaduna South,Male,5-14,4
261,2022,3,Kaduna South,Female,5-14,6
262,2022,4,Kaduna South,Male,5-14,4
263,2022,4,Kaduna South,Female,5-14,9
264,2022,1,Kagarko,Male,5-14,0
265,2022,1,Kagarko,Female,5-14,0
266,2022,2,Kagarko,Male,5-14,0
267,2022,2,Kagarko,Female,5-14,0
268,2022,3,Kagarko,Male,5-14,0
269,2022,3,Kagarko,Female,5-14,0
270,2022,4,Kagarko,Male,5-14,0
271,2022,4,Kagarko,Female,5-14,1
272,2022,1,Kajuru,Male,5-14,0
273,2022,1,Kajuru,Female,5-14,0
274,2022,2,Kajuru,Male,5-14,0
275,2022,2,Kajuru,Female,5-14,0
276,2022,3,Kajuru,Male,5-14,4
277,2022,3,Kajuru,Female,5-14,2
278,2022,4,Kajuru,Male,5-14,3
279,2022,4,Kajuru,Female,5-14,4
280,2022,1,Kaura,Male,5-14,0
281,2022,1,Kaura,Female,5-14,0
282,2022,2,Kaura,Male,5-14,0
283,2022,2,Kaura,Female,5-14,0
284,2022,3,Kaura,Male,5-14,0
285,2022,3,Kaura,Female,5-14,0
286,2022,4,Kaura,Male,5-14,0
287,2022,4,Kaura,Female,5-14,0
288,2022,1,Kauru,Male,5-14,3
289,2022,1,Kauru,Female,5-14,3
290,2022,2,Kauru,Male,5-14,2
291,2022,2,Kauru,Female,5-14,3
292,2022,3,Kauru,Male,5-14,30
293,2022,3,Kauru,Female,5-14,5
294,2022,4,Kauru,Male,5-14,94
295,2022,4,Kauru,Female,5-14,60
296,2022,1,Kubau,Male,5-14,1
297,2022,1,Kubau,Female,5-14,0
298,2022,2,Kubau,Male,5-14,1
299,2022,2,Kubau,Female,5-14,1
300,2022,3,Kubau,Male,5-14,3
301,2022,3,Kubau,Female,5-14,6
302,2022,4,Kubau,Male,5-14,3
303,2022,4,Kubau,Female,5-14,3
304,2022,1,Kudan,Male,5-14,0
305,2022,1,Kudan,Female,5-14,1
306,2022,2,Kudan,Male,5-14,1
307,2022,2,Kudan,Female,5-14,1
308,2022,3,Kudan,Male,5-14,0
309,2022,3,Kudan,Female,5-14,0
310,2022,4,Kudan,Male,5-14,2
311,2022,4,Kudan,Female,5-14,1
312,2022,1,Lere,Male,5-14,1
313,2022,1,Lere,Female,5-14,0
314,2022,2,Lere,Male,5-14,0
315,2022,2,Lere,Female,5-14,1
316,2022,3,Lere,Male,5-14,3
317,2022,3,Lere,Female,5-14,1
318,2022,4,Lere,Male,5-14,1
319,2022,4,Lere,Female,5-14,2
320,2022,1,Makarfi,Male,5-14,1
321,2022,1,Makarfi,Female,5-14,3
322,2022,2,Makarfi,Male,5-14,1
323,2022,2,Makarfi,Female,5-14,4
324,2022,3,Makarfi,Male,5-14,2
325,2022,3,Makarfi,Female,5-14,5
326,2022,4,Makarfi,Male,5-14,7
327,2022,4,Makarfi,Female,5-14,4
328,2022,1,Sabon – Gari,Male,5-14,0
329,2022,1,Sabon – Gari,Female,5-14,0
330,2022,2,Sabon – Gari,Male,5-14,4
331,2022,2,Sabon – Gari,Female,5-14,1
332,2022,3,Sabon – Gari,Male,5-14,3
333,2022,3,Sabon – Gari,Female,5-14,2
334,2022,4,Sabon – Gari,Male,5-14,9
335,2022,4,Sabon – Gari,Female,5-14,13
336,2022,1,Sanga,Male,5-14,0
337,2022,1,Sanga,Female,5-14,3
338,2022,2,Sanga,Male,5-14,0
339,2022,2,Sanga,Female,5-14,0
340,2022,3,Sanga,Male,5-14,0
341,2022,3,Sanga,Female,5-14,0
342,2022,4,Sanga,Male,5-14,1
343,2022,4,Sanga,Female,5-14,1
344,2022,1,Soba,Male,5-14,0
345,2022,1,Soba,Female,5-14,1
346,2022,2,Soba,Male,5-14,1
347,2022,2,Soba,Female,5-14,0
348,2022,3,Soba,Male,5-14,1
349,2022,3,Soba,Female,5-14,0
350,2022,4,Soba,Male,5-14,0
351,2022,4,Soba,Female,5-14,0
352,2022,1,Zangon – Kataf,Male,5-14,0
353,2022,1,Zangon – Kataf,Female,5-14,0
354,2022,2,Zangon – Kataf,Male,5-14,0
355,2022,2,Zangon – Kataf,Female,5-14,0
356,2022,3,Zangon – Kataf,Male,5-14,0
357,2022,3,Zangon – Kataf,Female,5-14,0
358,2022,4,Zangon – Kataf,Male,5-14,0
359,2022,4,Zangon – Kataf,Female,5-14,0
360,2022,1,Zaria,Male,5-14,5
361,2022,1,Zaria,Female,5-14,15
362,2022,2,Zaria,Male,5-14,6
363,2022,2,Zaria,Female,5-14,2
364,2022,3,Zaria,Male,5-14,23
365,2022,3,Zaria,Female,5-14,13
366,2022,4,Zaria,Male,5-14,54
367,2022,4,Zaria,Female,5-14,47
368,2022,1,Birni – Gwari,Male,15-24,7
369,2022,1,Birni – Gwari,Female,15-24,2
370,2022,2,Birni – Gwari,Male,15-24,3
371,2022,2,Birni – Gwari,Female,15-24,1
372,2022,3,Birni – Gwari,Male,15-24,5
373,2022,3,Birni – Gwari,Female,15-24,3
374,2022,4,Birni – Gwari,Male,15-24,12
375,2022,4,Birni – Gwari,Female,15-24,4
376,2022,1,Chikun,Male,15-24,12
377,2022,1,Chikun,Female,15-24,6
378,2022,2,Chikun,Male,15-24,25
379,2022,2,Chikun,Female,15-24,23
380,2022,3,Chikun,Male,15-24,27
381,2022,3,Chikun,Female,15-24,18
382,2022,4,Chikun,Male,15-24,29
383,2022,4,Chikun,Female,15-24,20
384,2022,1,Giwa,Male,15-24,82
385,2022,1,Giwa,Female,15-24,98
386,2022,2,Giwa,Male,15-24,74
387,2022,2,Giwa,Female,15-24,65
388,2022,3,Giwa,Male,15-24,71
389,2022,3,Giwa,Female,15-24,55
390,2022,4,Giwa,Male,15-24,78
391,2022,4,Giwa,Female,15-24,87
392,2022,1,Igabi,Male,15-24,21
393,2022,1,Igabi,Female,15-24,16
394,2022,2,Igabi,Male,15-24,16
395,2022,2,Igabi,Female,15-24,21
396,2022,3,Igabi,Male,15-24,40
397,2022,3,Igabi,Female,15-24,23
398,2022,4,Igabi,Male,15-24,21
399,2022,4,Igabi,Female,15-24,42
400,2022,1,Ikara,Male,15-24,0
401,2022,1,Ikara,Female,15-24,1
402,2022,2,Ikara,Male,15-24,5
403,2022,2,Ikara,Female,15-24,4
404,2022,3,Ikara,Male,15-24,0
405,2022,3,Ikara,Female,15-24,7
406,2022,4,Ikara,Male,15-24,1
407,2022,4,Ikara,Female,15-24,4
408,2022,1,Jaba,Male,15-24,2
409,2022,1,Jaba,Female,15-24,1
410,2022,2,Jaba,Male,15-24,2
411,2022,2,Jaba,Female,15-24,0
412,2022,3,Jaba,Male,15-24,3
